origine,destination,delta_days,proba_open
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,0,0.950328947368421
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,1,0.963486842105263
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,2,0.9697368421052632
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,3,0.9720394736842105
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,4,0.950328947368421
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,5,0.9546052631578947
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,6,0.9552631578947368
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,7,0.8993421052631578
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,8,0.8930921052631579
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,9,0.899671052631579
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,10,0.8990131578947369
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,11,0.8838815789473684
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,12,0.5907894736842105
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,13,0.5611842105263157
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,14,0.5444078947368421
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,15,0.5411184210526315
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,16,0.5177631578947368
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,17,0.5141447368421053
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,18,0.49967105263157896
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,19,0.47500000000000003
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,20,0.47927631578947366
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,21,0.4786184210526316
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,22,0.47927631578947366
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,23,0.47500000000000003
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,24,0.4868421052631579
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,25,0.4921052631578947
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,26,0.5
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,27,0.5236842105263158
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,28,0.5314569536423841
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,29,0.5172185430463576
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,30,0.08033333333333334
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),0,0.962171052631579
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),1,0.9766447368421052
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),2,0.9828947368421053
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),3,0.9845394736842106
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),4,0.9664473684210527
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),5,0.9690789473684212
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),6,0.9677631578947368
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),7,0.9203947368421053
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),8,0.9134868421052631
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),9,0.9141447368421052
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),10,0.9085526315789473
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),11,0.8894736842105262
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),12,0.6059210526315789
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),13,0.5743421052631579
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),14,0.55625
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),15,0.5546052631578947
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),16,0.524671052631579
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),17,0.525
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),18,0.5088815789473684
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),19,0.47236842105263155
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),20,0.48552631578947364
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),21,0.48618421052631583
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),22,0.48848684210526316
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),23,0.48125
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),24,0.4921052631578947
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),25,0.49374999999999997
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),26,0.5042763157894737
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),27,0.5194078947368421
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),28,0.5311258278145695
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),29,0.5125827814569537
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),30,0.08533333333333334
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,0,0.5211409395973154
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,1,0.5144295302013423
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,2,0.5134228187919463
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,3,0.5201342281879194
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,4,0.4506666666666666
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,5,0.4599337748344371
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,6,0.44835526315789476
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,7,0.3503289473684211
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,8,0.34210526315789475
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,9,0.36085526315789473
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,10,0.4082236842105263
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,11,0.40032894736842106
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,12,0.2565789473684211
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,13,0.25032894736842104
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,14,0.24473684210526317
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,15,0.2450657894736842
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,16,0.2493421052631579
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,17,0.2582236842105263
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,18,0.25625000000000003
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,19,0.2513157894736842
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,20,0.2582236842105263
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,21,0.26875
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,22,0.28278145695364243
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,23,0.28079470198675494
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,24,0.304635761589404
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,25,0.318
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,26,0.337248322147651
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,27,0.3560402684563758
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,28,0.377027027027027
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,29,0.3641891891891892
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,30,0.08435374149659865
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,0,0.5023026315789473
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,1,0.5289473684210527
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,2,0.5055921052631579
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,3,0.5046052631578948
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,4,0.3828947368421053
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,5,0.38947368421052636
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,6,0.4118421052631579
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,7,0.42598684210526316
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,8,0.4381578947368421
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,9,0.44506578947368425
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,10,0.44835526315789476
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,11,0.4677631578947368
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,12,0.12006578947368421
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,13,0.09769736842105263
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,14,0.09638157894736843
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,15,0.1069078947368421
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,16,0.11151315789473684
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,17,0.11842105263157894
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,18,0.12138157894736841
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,19,0.1256578947368421
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,20,0.13421052631578947
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,21,0.13815789473684212
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,22,0.1361842105263158
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,23,0.1401315789473684
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,24,0.14835526315789474
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,25,0.1539473684210526
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,26,0.18782894736842107
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,27,0.22894736842105262
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,28,0.24039735099337747
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,29,0.24172185430463577
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,30,0.05366666666666667
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,0,0.4029605263157895
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,1,0.45098684210526313
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,2,0.46249999999999997
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,3,0.4588815789473684
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,4,0.35625
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,5,0.3625
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,6,0.37236842105263157
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,7,0.3361842105263158
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,8,0.3361842105263158
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,9,0.3414473684210526
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,10,0.3684210526315789
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,11,0.39473684210526316
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,12,0.10526315789473684
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,13,0.09013157894736841
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,14,0.08355263157894736
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,15,0.08881578947368421
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,16,0.09013157894736841
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,17,0.10328947368421053
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,18,0.10756578947368423
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,19,0.11414473684210527
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,20,0.12467105263157895
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,21,0.1273026315789474
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,22,0.12532894736842107
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,23,0.13157894736842105
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,24,0.1444078947368421
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,25,0.14901315789473682
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,26,0.18026315789473682
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,27,0.22006578947368424
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,28,0.23476821192052982
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,29,0.23907284768211923
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,30,0.057
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),0,0.41776315789473684
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),1,0.45526315789473687
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),2,0.4769736842105263
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),3,0.47039473684210525
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),4,0.37565789473684214
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),5,0.3805921052631579
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),6,0.3957236842105263
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),7,0.3575657894736842
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),8,0.35526315789473684
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),9,0.36085526315789473
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),10,0.38980263157894735
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),11,0.4213815789473684
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),12,0.11282894736842104
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),13,0.09901315789473684
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),14,0.09605263157894736
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),15,0.10625
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),16,0.1069078947368421
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),17,0.11710526315789474
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),18,0.11973684210526316
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),19,0.1273026315789474
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),20,0.13749999999999998
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),21,0.13980263157894737
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),22,0.1355263157894737
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),23,0.13815789473684212
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),24,0.1493421052631579
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),25,0.14769736842105263
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),26,0.17894736842105263
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),27,0.21875
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),28,0.23774834437086093
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),29,0.2344370860927152
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),30,0.05566666666666666
CHAMPAGNE ARDENNE TGV,TGV HAUTE PICARDIE,0,0.27885906040268454
CHAMPAGNE ARDENNE TGV,TGV HAUTE PICARDIE,1,0.3057046979865772
CHAMPAGNE ARDENNE TGV,TGV HAUTE PICARDIE,2,0.3218120805369128
